station_name,station_no,station_latitude,station_longitude
Strathyre,15172,56.32054504,-4.328975608
Strowan,361047,56.36918493,-3.92115763
Tarland WWTP,511327,57.1250488281981,-2.8514504640691
Teviothead,14999,55.3422273375472,-2.9364812156604
The Lecht,115244,57.20200168,-3.249607166
Tillicoultry,15158,56.148819,-3.7458095
Tobermory,115654,56.62026156,-6.080645248
Tomatin No2,564863,57.3381639827187,-4.01336020841456
Torduff,15190,55.8968016,-3.267160193
Torwinny,234326,57.52198313,-3.446843553
Townfoot (Glencaple),323188,54.99473579,-3.568993615
Tromie Bridge,234327,57.0717185,-3.998638147
Tulchan,115247,57.399186873922,-3.44381881984428
Unthank Raingauge,506152,55.2428144328791,-2.96407300182699
Upper Monachlye,116007,56.39271229,-4.463706898
Urquhart,115406,57.59399199,-4.374371661
Wardend Bridge,234331,57.58239454,-3.608335401
Waterside Perth,369554,56.89929851,-2.820760629
Waulkmill Glen,115660,55.79484353,-4.353627607
Weisdale Mill,116008,60.2593269,-1.288604022
Westhill,115250,57.14756943,-2.291989375
Whitburn,14881,55.87157334,-3.682936938
White Clauchrie,502874,55.1412921,-4.677220867
