,Timestamp,Rainfall (mm),station_number,station_name,station_no,latitude,longitude
101,2018-07-01,34.0,234150,Aberlour,234150,57.48021805,-3.205975095
102,2018-08-01,34.6,234150,Aberlour,234150,57.48021805,-3.205975095
103,2018-09-01,76.8,234150,Aberlour,234150,57.48021805,-3.205975095
104,2018-10-01,75.4,234150,Aberlour,234150,57.48021805,-3.205975095
105,2018-11-01,44.8,234150,Aberlour,234150,57.48021805,-3.205975095
106,2018-12-01,35.2,234150,Aberlour,234150,57.48021805,-3.205975095
107,2019-01-01,86.8,234150,Aberlour,234150,57.48021805,-3.205975095
108,2019-02-01,46.8,234150,Aberlour,234150,57.48021805,-3.205975095
109,2019-03-01,87.6,234150,Aberlour,234150,57.48021805,-3.205975095
110,2019-04-01,72.0,234150,Aberlour,234150,57.48021805,-3.205975095
111,2019-05-01,155.6,234150,Aberlour,234150,57.48021805,-3.205975095
112,2019-06-01,91.8,234150,Aberlour,234150,57.48021805,-3.205975095
113,2019-07-01,72.6,234150,Aberlour,234150,57.48021805,-3.205975095
114,2019-08-01,116.4,234150,Aberlour,234150,57.48021805,-3.205975095
115,2019-09-01,87.8,234150,Aberlour,234150,57.48021805,-3.205975095
116,2019-10-01,70.8,234150,Aberlour,234150,57.48021805,-3.205975095
117,2019-11-01,115.4,234150,Aberlour,234150,57.48021805,-3.205975095
118,2019-12-01,55.4,234150,Aberlour,234150,57.48021805,-3.205975095
119,2020-01-01,43.2,234150,Aberlour,234150,57.48021805,-3.205975095
120,2020-02-01,93.0,234150,Aberlour,234150,57.48021805,-3.205975095
121,2020-03-01,29.8,234150,Aberlour,234150,57.48021805,-3.205975095
122,2020-04-01,19.6,234150,Aberlour,234150,57.48021805,-3.205975095
123,2020-05-01,54.0,234150,Aberlour,234150,57.48021805,-3.205975095
124,2020-06-01,84.4,234150,Aberlour,234150,57.48021805,-3.205975095
125,2020-07-01,52.6,234150,Aberlour,234150,57.48021805,-3.205975095
126,2020-08-01,36.4,234150,Aberlour,234150,57.48021805,-3.205975095
127,2020-09-01,57.4,234150,Aberlour,234150,57.48021805,-3.205975095
128,2020-10-01,186.4,234150,Aberlour,234150,57.48021805,-3.205975095
129,2020-11-01,26.8,234150,Aberlour,234150,57.48021805,-3.205975095
130,2020-12-01,129.6,234150,Aberlour,234150,57.48021805,-3.205975095
131,2021-01-01,118.2,234150,Aberlour,234150,57.48021805,-3.205975095
132,2021-02-01,33.8,234150,Aberlour,234150,57.48021805,-3.205975095
133,2021-03-01,53.8,234150,Aberlour,234150,57.48021805,-3.205975095
134,2021-04-01,40.4,234150,Aberlour,234150,57.48021805,-3.205975095
135,2021-05-01,120.0,234150,Aberlour,234150,57.48021805,-3.205975095
136,2021-06-01,16.8,234150,Aberlour,234150,57.48021805,-3.205975095
137,2021-07-01,78.2,234150,Aberlour,234150,57.48021805,-3.205975095
138,2021-08-01,56.4,234150,Aberlour,234150,57.48021805,-3.205975095
139,2021-09-01,84.4,234150,Aberlour,234150,57.48021805,-3.205975095
140,2021-10-01,103.0,234150,Aberlour,234150,57.48021805,-3.205975095
141,2021-11-01,114.0,234150,Aberlour,234150,57.48021805,-3.205975095
142,2021-12-01,77.0,234150,Aberlour,234150,57.48021805,-3.205975095
143,2022-01-01,39.2,234150,Aberlour,234150,57.48021805,-3.205975095
144,2022-02-01,12.8,234150,Aberlour,234150,57.48021805,-3.205975095
0,2010-02-01,50.4,115301,Affric Lodge,115301,57.26272622,-5.005979754
1,2010-03-01,143.2,115301,Affric Lodge,115301,57.26272622,-5.005979754
2,2010-04-01,105.0,115301,Affric Lodge,115301,57.26272622,-5.005979754
3,2010-05-01,38.6,115301,Affric Lodge,115301,57.26272622,-5.005979754
4,2010-06-01,34.8,115301,Affric Lodge,115301,57.26272622,-5.005979754
5,2010-07-01,148.4,115301,Affric Lodge,115301,57.26272622,-5.005979754
6,2010-08-01,116.0,115301,Affric Lodge,115301,57.26272622,-5.005979754
7,2010-09-01,155.8,115301,Affric Lodge,115301,57.26272622,-5.005979754
8,2010-10-01,204.8,115301,Affric Lodge,115301,57.26272622,-5.005979754
9,2010-11-01,117.6,115301,Affric Lodge,115301,57.26272622,-5.005979754
10,2010-12-01,59.0,115301,Affric Lodge,115301,57.26272622,-5.005979754
11,2011-01-01,193.8,115301,Affric Lodge,115301,57.26272622,-5.005979754
12,2011-02-01,149.8,115301,Affric Lodge,115301,57.26272622,-5.005979754
13,2011-03-01,101.2,115301,Affric Lodge,115301,57.26272622,-5.005979754
14,2011-04-01,138.6,115301,Affric Lodge,115301,57.26272622,-5.005979754
15,2011-05-01,230.2,115301,Affric Lodge,115301,57.26272622,-5.005979754
16,2011-06-01,78.2,115301,Affric Lodge,115301,57.26272622,-5.005979754
17,2011-07-01,89.8,115301,Affric Lodge,115301,57.26272622,-5.005979754
18,2011-08-01,116.2,115301,Affric Lodge,115301,57.26272622,-5.005979754
19,2011-09-01,219.6,115301,Affric Lodge,115301,57.26272622,-5.005979754
20,2011-10-01,236.0,115301,Affric Lodge,115301,57.26272622,-5.005979754
21,2011-11-01,284.2,115301,Affric Lodge,115301,57.26272622,-5.005979754
22,2011-12-01,451.6,115301,Affric Lodge,115301,57.26272622,-5.005979754
23,2012-01-01,319.6,115301,Affric Lodge,115301,57.26272622,-5.005979754
24,2012-02-01,150.6,115301,Affric Lodge,115301,57.26272622,-5.005979754
25,2012-03-01,76.0,115301,Affric Lodge,115301,57.26272622,-5.005979754
26,2012-04-01,111.4,115301,Affric Lodge,115301,57.26272622,-5.005979754
27,2012-05-01,111.8,115301,Affric Lodge,115301,57.26272622,-5.005979754
28,2012-06-01,72.4,115301,Affric Lodge,115301,57.26272622,-5.005979754
29,2012-07-01,92.2,115301,Affric Lodge,115301,57.26272622,-5.005979754
30,2012-08-01,104.6,115301,Affric Lodge,115301,57.26272622,-5.005979754
31,2012-09-01,201.0,115301,Affric Lodge,115301,57.26272622,-5.005979754
32,2012-10-01,138.6,115301,Affric Lodge,115301,57.26272622,-5.005979754
33,2012-11-01,169.6,115301,Affric Lodge,115301,57.26272622,-5.005979754
34,2012-12-01,238.0,115301,Affric Lodge,115301,57.26272622,-5.005979754
35,2013-01-01,159.4,115301,Affric Lodge,115301,57.26272622,-5.005979754
36,2013-02-01,127.4,115301,Affric Lodge,115301,57.26272622,-5.005979754
37,2013-03-01,28.4,115301,Affric Lodge,115301,57.26272622,-5.005979754
38,2013-04-01,212.4,115301,Affric Lodge,115301,57.26272622,-5.005979754
39,2013-05-01,131.8,115301,Affric Lodge,115301,57.26272622,-5.005979754
40,2013-06-01,37.8,115301,Affric Lodge,115301,57.26272622,-5.005979754
